iter	Passed	Remaining
0	60	60414
1	60	30333
2	61	20316
3	61	15306
4	61	12320
5	62	10300
6	62	8866
7	62	7806
8	63	6968
9	63	6291
10	63	5743
11	64	5284
12	64	4894
13	64	4562
14	65	4277
15	65	4024
16	65	3801
17	66	3605
18	66	3434
19	66	3277
20	67	3146
21	67	3020
22	68	2901
23	68	2789
24	68	2687
25	69	2591
26	69	2508
27	70	2433
28	70	2360
29	70	2288
30	71	2221
31	71	2158
32	71	2102
33	72	2047
34	72	1996
35	72	1948
36	73	1902
37	73	1857
38	73	1815
39	73	1774
40	74	1738
41	74	1702
42	74	1667
43	75	1634
44	75	1602
45	75	1574
46	76	1545
47	76	1517
48	76	1489
49	77	1465
50	77	1442
51	77	1418
52	78	1395
53	78	1374
54	78	1354
55	79	1333
56	79	1314
57	79	1294
58	80	1277
59	80	1259
60	80	1241
61	80	1224
62	81	1209
63	81	1193
64	81	1179
65	82	1164
66	82	1150
67	82	1134
68	83	1119
69	83	1107
70	83	1094
71	83	1081
72	84	1070
73	84	1059
74	84	1047
75	85	1036
76	85	1026
77	86	1016
78	86	1006
79	86	997
80	86	986
81	87	976
82	87	967
83	87	958
84	88	947
85	88	938
86	88	928
87	88	920
88	89	912
89	89	904
90	89	895
91	89	888
92	90	880
93	90	872
94	90	865
95	91	857
96	91	850
97	91	843
98	91	836
99	92	830
100	92	823
101	92	815
102	92	809
103	93	802
104	93	796
105	93	790
106	94	784
107	94	779
108	94	774
109	94	768
110	95	762
111	95	757
112	95	752
113	96	747
114	96	742
115	96	737
116	97	732
117	97	727
118	97	722
119	97	717
120	98	713
121	98	708
122	98	702
123	98	698
124	99	694
125	99	689
126	99	686
127	100	681
128	100	677
129	100	673
130	101	671
131	101	668
132	101	664
133	102	660
134	102	656
135	102	652
136	103	649
137	103	645
138	103	641
139	103	638
140	104	634
141	104	631
142	104	628
143	105	624
144	105	621
145	105	619
146	106	615
147	106	612
148	106	609
149	107	607
150	107	604
151	107	601
152	108	598
153	108	595
154	108	592
155	108	589
156	109	586
157	109	584
158	109	581
159	110	579
160	110	577
161	111	575
162	111	572
163	111	570
164	112	567
165	112	565
166	112	563
167	113	560
168	113	558
169	113	555
170	114	553
171	114	550
172	114	548
173	115	546
174	115	544
175	115	542
176	116	541
177	116	539
178	117	537
179	117	535
180	117	532
181	117	530
182	118	528
183	118	526
184	119	524
185	119	522
186	119	520
187	120	518
188	120	516
189	120	514
190	121	513
191	121	511
192	121	509
193	122	507
194	122	505
195	122	503
196	123	501
197	123	499
198	123	497
199	123	495
200	124	493
201	124	491
202	124	489
203	124	487
204	125	485
205	125	483
206	125	481
207	125	479
208	126	477
209	126	475
210	126	473
211	126	471
212	127	469
213	127	468
214	127	466
215	127	464
216	128	462
217	128	461
218	128	459
219	129	457
220	129	455
221	129	454
222	129	452
223	130	450
224	130	449
225	130	447
226	130	445
227	131	444
228	131	443
229	131	441
230	132	439
231	132	438
232	132	436
233	132	435
234	133	434
235	133	432
236	133	431
237	134	429
238	134	428
239	134	426
240	134	424
241	135	423
242	135	421
243	135	420
244	135	418
245	136	417
246	136	415
247	136	414
248	136	412
249	137	411
250	137	410
251	137	408
252	137	407
253	138	405
254	138	404
255	138	403
256	138	401
257	139	400
258	139	398
259	139	397
260	139	396
261	140	394
262	140	393
263	140	392
264	140	391
265	141	389
266	141	388
267	141	387
268	142	385
269	142	384
270	142	383
271	142	382
272	143	381
273	143	380
274	143	378
275	143	377
276	144	376
277	144	375
278	144	374
279	144	372
280	145	371
281	145	370
282	145	369
283	146	368
284	146	367
285	146	366
286	147	365
287	147	364
288	147	363
289	147	362
290	148	361
291	148	359
292	148	358
293	149	357
294	149	357
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	346
306	152	345
307	153	344
308	153	343
309	153	342
310	154	341
311	154	340
312	154	339
313	154	338
314	155	337
315	155	336
316	155	335
317	155	334
318	156	333
319	156	332
320	156	331
321	156	330
322	157	329
323	157	328
324	157	327
325	157	326
326	158	325
327	158	324
328	158	323
329	158	322
330	159	321
331	159	320
332	159	319
333	159	318
334	160	317
335	160	316
336	160	315
337	160	315
338	161	314
339	161	313
340	161	312
341	161	311
342	162	310
343	162	309
344	162	308
345	162	308
346	163	307
347	163	306
348	163	305
349	164	304
350	164	303
351	164	302
352	164	302
353	165	301
354	165	300
355	165	299
356	165	298
357	166	297
358	166	296
359	166	296
360	166	295
361	167	294
362	167	293
363	167	293
364	168	292
365	168	291
366	168	290
367	168	290
368	169	289
369	169	288
370	169	287
371	169	286
372	170	286
373	170	285
374	170	284
375	170	283
376	171	282
377	171	282
378	171	281
379	171	280
380	172	279
381	172	278
382	172	278
383	172	277
384	173	276
385	173	275
386	173	275
387	173	274
388	174	273
389	174	272
390	174	272
391	174	271
392	175	270
393	175	269
394	175	269
395	175	268
396	176	267
397	176	266
398	176	266
399	176	265
400	177	264
401	177	264
402	177	263
403	178	262
404	178	262
405	178	261
406	178	260
407	179	259
408	179	259
409	179	258
410	179	257
411	180	257
412	180	256
413	180	255
414	180	254
415	181	254
416	181	253
417	181	252
418	181	252
419	182	251
420	182	250
421	182	250
422	182	249
423	183	248
424	183	247
425	183	247
426	183	246
427	184	246
428	184	245
429	184	244
430	184	244
431	185	243
432	185	242
433	185	242
434	185	241
435	186	240
436	186	240
437	186	239
438	186	238
439	187	238
440	187	237
441	187	236
442	187	236
443	188	235
444	188	234
445	188	234
446	188	233
447	189	232
448	189	232
449	189	231
450	189	231
451	190	230
452	190	229
453	190	229
454	190	228
455	191	227
456	191	227
457	191	226
458	191	226
459	192	225
460	192	224
461	192	224
462	192	223
463	193	223
464	193	222
465	193	222
466	194	221
467	194	220
468	194	220
469	194	219
470	195	219
471	195	218
472	195	217
473	195	217
474	195	216
475	196	216
476	196	215
477	196	214
478	196	214
479	197	213
480	197	213
481	197	212
482	198	212
483	198	211
484	198	210
485	198	210
486	199	209
487	199	209
488	199	208
489	199	207
490	200	207
491	200	206
492	200	206
493	200	205
494	201	205
495	201	204
496	201	203
497	201	203
498	201	202
499	202	202
500	202	201
501	202	201
502	202	200
503	203	199
504	203	199
505	203	198
506	203	198
507	204	197
508	204	197
509	204	196
510	204	196
511	205	195
512	205	195
513	205	194
514	205	193
515	206	193
516	206	192
517	206	192
518	206	191
519	207	191
520	207	190
521	207	190
522	207	189
523	208	189
524	208	188
525	208	188
526	209	187
527	209	187
528	209	186
529	209	186
530	210	185
531	210	184
532	210	184
533	210	183
534	210	183
535	211	182
536	211	182
537	211	181
538	212	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	213	177
546	214	177
547	214	176
548	214	176
549	214	175
550	214	175
551	215	174
552	215	174
553	215	173
554	216	173
555	216	172
556	216	172
557	216	171
558	217	171
559	217	170
560	217	170
561	217	169
562	218	169
563	218	168
564	218	168
565	218	167
566	219	167
567	219	166
568	219	166
569	219	165
570	220	165
571	220	165
572	220	164
573	221	164
574	221	163
575	221	163
576	221	162
577	222	162
578	222	161
579	222	161
580	223	160
581	223	160
582	223	159
583	223	159
584	224	159
585	224	158
586	224	158
587	225	157
588	225	157
589	225	156
590	225	156
591	226	155
592	226	155
593	226	154
594	226	154
595	227	153
596	227	153
597	227	153
598	227	152
599	228	152
600	228	151
601	228	151
602	228	150
603	229	150
604	229	149
605	229	149
606	230	148
607	230	148
608	230	147
609	230	147
610	230	147
611	231	146
612	231	146
613	231	145
614	231	145
615	232	144
616	232	144
617	232	143
618	232	143
619	233	142
620	233	142
621	233	141
622	233	141
623	234	141
624	234	140
625	234	140
626	234	139
627	235	139
628	235	138
629	235	138
630	235	137
631	235	137
632	236	136
633	236	136
634	236	136
635	236	135
636	237	135
637	237	134
638	237	134
639	237	133
640	238	133
641	238	132
642	238	132
643	239	132
644	239	131
645	239	131
646	239	130
647	240	130
648	240	129
649	240	129
650	240	129
651	241	128
652	241	128
653	241	127
654	241	127
655	242	126
656	242	126
657	242	126
658	242	125
659	243	125
660	243	124
661	243	124
662	243	123
663	244	123
664	244	123
665	244	122
666	244	122
667	244	121
668	245	121
669	245	120
670	245	120
671	245	120
672	246	119
673	246	119
674	246	118
675	246	118
676	247	117
677	247	117
678	247	117
679	247	116
680	248	116
681	248	115
682	248	115
683	248	115
684	249	114
685	249	114
686	249	113
687	249	113
688	250	112
689	250	112
690	250	112
691	250	111
692	251	111
693	251	110
694	251	110
695	252	110
696	252	109
697	252	109
698	253	108
699	253	108
700	253	108
701	253	107
702	254	107
703	254	106
704	254	106
705	254	106
706	254	105
707	255	105
708	255	104
709	255	104
710	256	104
711	256	103
712	256	103
713	256	102
714	257	102
715	257	102
716	257	101
717	257	101
718	258	100
719	258	100
720	258	100
721	259	99
722	259	99
723	259	98
724	259	98
725	260	98
726	260	97
727	260	97
728	260	96
729	261	96
730	261	96
731	261	95
732	261	95
733	262	95
734	262	94
735	262	94
736	262	93
737	263	93
738	264	93
739	264	92
740	264	92
741	264	92
742	265	91
743	265	91
744	265	90
745	265	90
746	266	90
747	266	89
748	266	89
749	267	89
750	267	88
751	267	88
752	267	87
753	268	87
754	268	87
755	268	86
756	268	86
757	269	85
758	269	85
759	269	85
760	270	84
761	270	84
762	270	84
763	271	83
764	271	83
765	271	83
766	272	82
767	272	82
768	272	81
769	272	81
770	273	81
771	273	80
772	273	80
773	274	80
774	274	79
775	274	79
776	275	79
777	275	78
778	276	78
779	276	77
780	276	77
781	276	77
782	277	76
783	277	76
784	277	76
785	277	75
786	278	75
787	278	74
788	278	74
789	278	74
790	279	73
791	279	73
792	279	72
793	279	72
794	280	72
795	280	71
796	280	71
797	280	71
798	281	70
799	281	70
800	281	69
801	281	69
802	282	69
803	282	68
804	282	68
805	282	68
806	283	67
807	283	67
808	283	66
809	283	66
810	284	66
811	284	65
812	284	65
813	284	65
